計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
柑橘果實發育期旱澇災害產區之防範,"[494, 580, 651, 799, 1155]","柑橘, 氣象災害管理, 乾旱, 湛水, 叢枝菌根菌",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置","柑橘為我國重要亞熱帶水果產業之一，103年總栽培面積仍有25,715公頃。近年來全球面臨氣候變遷對柑橘產業之影響頗大。本計畫擬整理近十年災害對柑橘產業的損害模式及情形，針對開花、著果期低溫、乾旱、果實發育期乾濕不調等災害，分年度進行防災措施試驗，以研擬農民可快速上軌道的管理措施，期能減輕天然災害對產業發展之影響。主要的防災措施將選擇具代表性的柑橘果園，進行防災綜合管理試驗，例如疫病病害管理技術之建立、葉面施肥技術、叢枝內生菌根菌之應用、果樹耐旱性提升技術等，期能配合氣象建立果園澇害後或旱害後之恢復樹勢與病害防治的標準作業程序。","柑橘, 期能, 病害, 措施, 管理, 耐旱性, 旱害"
建置玉米及其病蟲害之致災氣象指標與防(減)災策略與措施,"[217, 220, 221, 394, 443, 524, 752]","玉米, 玉米褪綠斑駁病毒, 玉米薊馬, 防減災策略, 物候資訊系統, 致災氣象指標, 寒害",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",玉米為台灣最重要的雜糧作物，若氣象異常變化及病蟲害大發生會影響玉米產量與品質，造成農民嚴重經濟損失，進而影響農民栽種意願，也影響到相關政策推行。本研究將針對玉米高低氣溫導致玉米關鍵病蟲害如玉米褪綠斑駁病毒、玉米薊馬大發生之致災臨界條件進行分析；並在致災氣候發生前後調查玉米病蟲害發生種類、程度以及玉米被害程度及產量損失等，以釐清致災臨界條件及災損程度的基礎資料；同時針對玉米病毒病害、蟲害及寒害測試防治措施。為了預警因氣候異常變化、病蟲害大發生造成的玉米產業災損，本研究將量化分析溫度、濕度、風、雨等氣象條件對玉米及其病蟲害生長發育影響的臨界值、病蟲害的分布情形並與氣候資料介接，結合CLIMEX及DYMEX作為未來預測災損及預警之參考。針對關鍵栽培限制因子，研究其預防與防治方法，包括化學藥劑、物理措施等，藉以減少或迅速控制病蟲害大發生。,"程度, 研究, 災損, 濕度, 措施, 分析, 病害"
柿霪雨災損臨界關鍵氣象指標建立與災害減損技術開發,"[372, 496, 1190]","災害減損技術, 柿, 霪雨",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",造成柿果實受損的災害多與水害有關，由於5、6月為柿開花著果期，造成果實大量落果，損失慘重，另11月的豪雨時值甜柿果實收穫期，太多的降雨也會造成採前落果。若能於災害來臨前提早防治，建立水害防範技術，可有效降低損失，增加經濟所得，減少政府救助負擔。本計畫擬建立柿災損臨界關鍵氣象指標與災害減損技術開發，減少農業天然災害對柿造成的嚴重落果現象，促進著果。將建構柿災害熱區地圖、建立災損臨界關鍵氣象指標；進行柿不同產區物候期調查、落果率調查、樹體與土壤營養成分分析，建立生理落果期樹體營養指標；利用可快速獲取柿生理徵狀之非破壞性取樣儀器，針對光生理反應、水分利用效率等建立柿災損生理指數及災後復原程度評估標準；配合災害資料庫與地理系統，分析標的甜柿果園的災害風險，依所面對的災害項目，將對應減災技術導入柿果園，提高柿果園災害應變能力，相關技術如生長控制與營養管理、果園土壤水份管理、環狀剝皮、限制著果、使用植物生長調節劑等，建立柿災害減損技術與個別產區柿的防災與復育處理之標準作業程序，推廣給柿栽培農民使用，以減少遭遇天然災害風險，穩定生產，維持農民收益。,"落果, 甜柿, 柿災, 樹體, 水害, 生理"
梅雨對水稻穗上發芽影響程度指標與相關應對措施之建立,"[174, 924, 1137]","水稻, 農業氣象災害, 穗上發芽",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置","穗上發芽(pre-harvest sprouting, PHS)為臺灣稻作時常面臨的問題。穗上發芽會消耗種子養分、使稻穀賣相變差，造成農民損失。近年來，全球氣候有快速變遷的趨勢，使得包括臺灣在內的世界各地之極端天氣事件頻頻發生，農民依照節氣耕作，已無法完全避開天然災害的損失。除了育成不易穗上發芽品種，若能配合氣象資料提前預警穗上發芽高風險時期，並予以防護措施，則可大幅降低穗上發芽造成的農民損失。但目前對於不同品種水稻，需要連續累積多少雨量才會造成穗上發芽，其條件不甚清楚。且建立預警系統後，目前能採取的穗上發芽預防措施還是相當的少。因此，本計畫希望在建置預報系統前能瞭解連續累積多少雨量會造成穗上發芽，並試驗可能減少穗上發芽的預防措施，以供農民參考。","雨量, 稻作, 耕作, 消耗, 水稻, 事件, 措施, 全球"
水稻秧苗期、分蘗盛期和幼穗分化期受水災災害之評估,"[128, 212, 603, 706]","分蘗盛期, 幼穗分化期, 秧苗期, 淹水",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",水稻為臺灣最重要的糧食作物，雖為耐淹作物，但處於長時間的淹水狀態下仍會使得稻作產量及品質減損。隨著氣候變遷、極端天氣現象頻繁發生之情形下，為減少暴雨及淹水災害發生後之稻作損失，本計畫藉由評估?稻及秈稻主要栽培品種於秧苗期、分蘗期及幼穗分化期於不同淹水程度下之災後農藝特性表現，據以研擬減災防災之栽培管理技術，且了解水稻淹水後之各項生理指標，有利於評估及選育耐淹水稻品種。,"稻作, 水稻, 分蘗, 暴雨, 栽培, 作物, 特性, 情形, 程度"
水稻水、寒害災害指標建置及調適策略之開發-寒冷害,"[174, 395, 751]","水稻, 防護, 寒冷害",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",近年來台灣第一期稻作期間氣候仍不時遭遇冷鋒或寒流侵襲，此偶發性的災害使得秧苗於田間水稻根系生長與定著緩慢，使水分吸收速率不及蒸散迅速，而造成葉片尾端黃化枯萎的現象。幼穗分化、孕穗期與穀粒充實後期等生育後期階段亦會受低溫影響導致稻穀產量降低與品質劣化甚遽。本計畫主要欲建置適合國內主要栽培水稻品種，對於植株幼苗期、幼穗分化期、孕穗期及抽穗期受到低溫危害之防護方式。對於水稻生育對溫度敏感之關鍵時期，釐清受災之切確臨界條件，並評估何種溫度及持續時間對水稻產量的損害情形，以作為後續災害補助之參考。另一方面，結合氣象監測系統，在災害發生前即行預警告知，以使農民預作防寒措施，減少冷害災情發生。據此達到建立優化的減災技術而減少農民災害損失。,"水稻, 生育, 劣化, 秧苗, 尾端, 寒流, 植株, 根系, 速率"
水稻水害指標建置與防災技術之研究,"[174, 226, 706]","水稻, 生育期, 淹水",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",本計畫以解析主要水稻栽培品種發生水災害之農藝特性表現，瞭解國內主要栽培水稻品種在生殖生長期受到水害的危害程度差異並研擬應對水災害之栽培管理技術。?經由開發水稻全生育期耐(防)水與災後恢復技術，提供稻作栽培使用，當天災發生時，維持稻株生長與稻作生產收穫或抑或減少災害損失，維持稻作生產者收益。,"稻作, 栽培, 水稻, 稻株, 全生育期, 水害, 解析, 生殖"
果實保護資材於複合型氣象逆境的田間應用與推廣,"[405, 428, 429, 495, 568, 630, 924, 1064]","刺吸式口器害蟲, 果實保護資材, 果實保護劑, 柑橘類作物, 氣候, 逆境, 農業氣象災害, 複合型氣象逆境",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",台灣農業氣象災害主要是由強光、高溫、霪雨、豪大雨與颱風等所造成，由以上兩個以上所組成的逆境，稱之為複合型氣象逆境。這些氣象逆境可影響作物產量，並增加作物害蟲與病原之族群密度。例如果實日燒是由強光與高溫所引起的一種生理性傷害，嚴重影響果實品質；高溫高濕致使薊馬、葉蟬、蚜蟲、介殼蟲、木蝨、粉蝨與?類等小型刺吸式口器有害動物的族群密度提升。本計畫目的是評估氣象逆境下的柑橘園，施用果實保護劑(TK99 水懸劑) 控制果實日燒與害蟲取食危害的效果，並將試驗結果與使用方法推廣予柑橘、檬果、柿子與火龍果等產業的農友予以應用。,"逆境, 族群, 密度, 霪雨, 木蝨, 粉蝨, 刺吸式, 懸劑, 生理性, 柿子, 口器, 病原"
建立人為水稻災害試驗區災損評估技術,"[174, 511, 547, 579]","水稻, 耐旱特性, 倒伏, 氣象災害",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",臺灣易受颱風侵襲，而伴隨的暴雨、強風和洪澇等氣象災害發生頻率相當高，加上全球氣候變遷影響，極端性的氣候災害增加。而農業經常成為受災嚴重之產業，不僅農民財產損失，政府更須投入許多人力勘災以進行災害補償，不僅耗費人力、金錢，更伴隨紛爭之產生。基此，本計畫以建立人為人為水稻災害試驗區及災損評估技術為目的，收集水稻倒伏及乾旱逆境下之實際影像和基礎資料，收集人為模擬下之受災之影像等實際資料，以做為未來實際災害影像分析之基礎根據，從而供未來建立災害監測與勘災作業流程，並建置災害救助系統資料庫，提升整體災損救助速度利用，藉此縮短勘災時間，加速農民復耕速度有助於災後之蔬果物價穩定，可減低農民之生產風險，增加農民耕作意願，亦能有效降低政府在災害救助的財政負擔。,"影像, 救助, 人力, 水稻, 災損, 速度, 逆境, 蔬果"
建立無人飛行載具於亞熱帶果樹生產監測與災害發生勘查基礎,"[131, 433, 713, 802, 1033]","天然災害, 果樹, 產量, 無人飛行載具, 影像",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",臺灣地處亞熱帶季風氣候區，溫暖而濕潤的天候適合栽培多樣的果樹作物，然而自平原至丘陵地區小面積、多樣變化的果園卻往往遭受極端天氣的挑戰：颱風、豪雨、低溫等時而造成產量減損，影響到果園的初級產出與農家收益。政府的救助政策或許可以弭補一部分生產者的經濟損失，在災害發生後卻也需要快速、便捷可信賴的勘查工具協助完成相關勘查工作。新穎的工具如無人飛行載具或許是協助完成勘查任務的良好選擇，在本計畫中我們將以無人飛行載具收集10種果樹的空拍資料，影像資料將用於地景使用辨識與果園損害評估。我們也將嘗試自特定果樹計算其特徵或生理參數作為產量預估參考。相關工作將有助於我們整合地管理果樹生產。,"勘查, 工具, 濕潤, 豪雨, 空拍, 地景, 天候, 影像, 工作"
模擬農作物災損影像判別技術研發,"[579, 802, 906]","氣象災害, 無人飛行載具, 農作物",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",臺灣易受颱風侵襲，而伴隨的暴雨、強風和洪澇等氣象災害發生頻率相當高，加上全球氣候變遷影響，極端性的氣候災害增加。農業經常成為受災嚴重之產業，不僅農民財產損失，政府更須投入許多人力勘災以進行災害補償，不僅耗費人力、金錢，更伴隨紛爭之產生。因此，除了防災減災技術發展外，如何加速災害救助流程，協助農友儘快復耕亦相對重要。本計畫目的在以無人飛行載具建置不同作物不同生長期及受災影像光譜特性與災損程度之資料庫，提供未來應用航拍進行勘災流程中影像判識之基礎，以協助災後勘災作業。本計畫以農業生態系長期試驗區和配合相關計畫設定之特定調查試驗區，收集幾處專業區水稻及果樹不同生長階段、人為模擬受災與實際受災之影像及地面調查資料，研發農作物受損災情影像判別技術，作為未來實際災害影像判識之依據。本計畫全期規劃之航拍作物類別，除幾處專業區水稻外，擬航拍之九種歷年受害較嚴重之果樹，約佔全臺果樹總栽植面積之46%。,"影像, 航拍, 流程, 人力, 作物, 水稻, 全期"
農業氣象災害前後無人機圖資取得及災損判釋技術發展,"[283, 339, 373]","地理資訊系統, 作物高度模型, 災害監測",農林氣象災害風險指標建置及災害調適策略之研究,"農林, 氣象災害, 風險指標, 災害調適, 建置",近年，氣候變遷造成的極端天氣發生頻率增多，威脅農作物生產及農產品穩定供應；尤其是豪雨及颱風發生對於農業的損害更為劇烈。目前農業委員會有一套農林災害預警及災害救助系統，面對未來氣候災害發生頻率與強度將更為嚴重，必須建構更完整、有效率之防災體系，以減緩極端天氣所帶來的衝擊。本計畫發展運用多源遙測技術進行災害的監測，進而災損範圍的評定，提供進行災害補助及救助資訊給基層人員。無人載具系統的機動性，適合於災害發生後即時的影像取得及監測。開發一套影像資料庫管理及應用於現場的分析的勘災及救助資訊，並可即時連結現場人員及資料解析人員的對話平台，以提高救災效率。,"救助, 影像, 豪雨, 有效率, 解析, 效率, 平台, 分析"
我國農林部門溫室氣體排放趨勢推估及減量影響評估研究,"[37, 135, 196, 576, 861, 862]","GHG, 巴黎協定, 可計算一般均衡, 氣候變遷, 溫室效應, 溫室氣體",農業科技產業化,"農業, 產業化, 科技",為因應我國通過「溫室氣體減量及管理法」，就階段管制目標及管制方式之程序性規範，擬具「溫室氣體階段管制目標及管制方式作業準則」，爰此，行政院要求各部門擬定溫室氣體階段管制目標及其管制方式作業準則。本研究將依「我國國家溫室氣體排放清冊」之係數，採用一般均衡模型進行基線推估，並以農林部門模型和漁業部門模型校準。????本研究目標與重點工作項目如下：蒐集、研析並提供最新國際溫室氣體相關議題之資訊，並完成巴黎協定相關決議文及規範分析，提出農林部門因應建議。 研提農林部門溫室氣體排放趨勢推估原則及參數，並設定情境，就不同情境進行溫室氣體排放趨勢推估與分析，以作為階段管制目標訂修之參考。配合階段管制目標之訂修，研析並提出農林部門溫室氣體減量情境、減量貢獻及減量成本之估算。 進行農林部門階段管制目標對於經濟、能源、環境、社會等面向之衝擊影響評估。針對我國農林部門溫室氣體為達成階段管制目標產生之衝擊影響提出因應措施，以供施政參考，並參加COP23。????預期效益包括：本計畫將配合施政的需求，因應我國投入減碳，更新先前的碳排放統計，再配合階段管制目標之訂修，設定不同境況，模擬我國上述部門溫室氣體的排放量與趨勢。並以模式進行農林部門階段管制目標對於經濟、能源、環境、社會等面向之衝擊影響評估，提出因應措施。參考各國經驗，研析可供我國借鏡之作法。加強國內外相關模型及資訊的交流與整合，完成期末報告撰寫。提出農林部門溫室氣體減量情境、減量貢獻及減量成本之估算。提出具體政策建議以供決策參考，提供必要且即時的模擬評估及決策支援，將研究成果進行公開說明，或於相關專業期刊發表。,"管制, 情境, 研析, 模型"
因應氣候變遷高溫與乾旱危害之水稻生長模式模擬研究─ MINCERnet2.0國際水稻合作研究計畫,"[174, 237, 277, 647, 651, 671]","水稻, 生長模式, 因應氣候變遷, 高溫, 乾旱, 國際合作研究",國際農業合作,"國際, 農業, 合作",本計畫分為學術研究及國外科研機構參訪與參加相關國際學術性會議兩大方面。在學術研究方面，第一年主要在於量測與收集氣象資料及水稻冠層上下微氣象改變量化高溫及乾旱(缺水)對稻株抽穗開花行為及稔實率之影響，再由穗溫與稻穗外觀形態變化釐清造成穗花不稔之臨界溫度及乾旱程度。在國外科研機構參訪與參加相關國際學術性會議方面，將包括預定參訪日本國家農業環境研究所或其他科研機構、參加本項計畫年度成果報告與檢討會議、以及參加相關國際學術性會議等。,"稻株, 方面, 稻穗, 冠層, 行為, 實率, 穗溫, 穗花, 缺水, 水稻, 成果"
因應氣候變遷以生物遺傳資源平台建置抗耐逆境優質水稻研究計畫(2/4),"[670, 676, 1075]","國際合作, 國際稻米研究所, 適應氣候的水稻",國際農業合作,"國際, 農業, 合作",全球性氣候變遷估計導致稻米產量減少約33%。極端氣候的發生預計在不久的將來會增加。因此開發具有高逆境調適能力之水稻新品種，強化現有品種之耐逆境能力，已成為國際研究之重要趨勢。此一全球性的挑戰需要吾人之努力和有效的策略，以開發適應不斷變化氣候下的水稻適應性品種。因此，為了加速發現對未來水稻改良至關重要的新基因和農藝性狀，國際水稻研究所(IRRI)與台灣多個合作夥伴建立一個供多樣性和育種資源使用的遺傳多樣性平台。在研擬的項目中，IRRI將開發一個公共遺傳多樣性平台，其中包括：用於有效等位基因挖掘之大規模水稻族群的基因組資訊，?快速方法以顯示基因及表型的關係，基因功能驗證和標記發展流程，以及以新的育種設計方式產生已可進行育種的遺傳群體。遺傳平台將作為增加台灣稻作品種氣候適應性所需的多樣性的驅動來源。在這個過程中，我們將通過機構之間的研究人員交流，建立人力資源和研究能力。在此4年項目的研究目標則包括：支持適應氣候變遷水稻發展的遺傳多樣性平台 ;?生物逆境（白葉枯病、稻熱病及褐飛虱之工作坊）。增加台灣水稻育成品系之耐熱和耐旱性;?開發低昇糖指數（GI）的水稻品種以降低健康風險。發展可持續管理褐飛虱的整合策略。本計畫預期將可選育適合於臺灣栽培之耐生物及非生物逆境水稻品種，促進人員之國際交流，提昇研究動能並?低未?全球氣候變遷對臺灣農業所帶?的衝擊。,"水稻, 平台, 飛虱, 研究, 逆境"
強化稻作生產技術之國際連結以應對氣候變遷及提升糧食供應安全(IRRI),"[174, 231, 466, 576, 676, 1164]","水稻, 生物性逆境, 非生物性逆境, 氣候變遷, 國際稻米研究所, 糧食自給率",國際農業合作,"國際, 農業, 合作",在氣候變遷情境下，異常氣候及極端天氣將帶來頻繁的氣象災損與風險，導致糧食供給的不穩定和不確定，因此因應氣候變遷及提升糧食自給率議題尤顯其重要。為期加速開發適用未來水稻品種改良的重要新基因與新性狀，農委會乃和國際稻米研究所(IRRI)合作致力於建立一個基因多樣化平台，以提供所需之多樣性種原與可利用於育種之遺傳資源。本計畫即在發展此一公用的基因多樣化平台，內含: (1)大量水稻族群之基因體資訊以提高等位基因(allele)的探索效率、(2)可顯示基因與外表型關係的快速方法、(3)基因功能驗證與標誌發展的作法及(4)可產生提供育種所需遺傳族群的特殊育種設計等四項研究/工作。此一基因多樣化平台亦可作為產生能夠增進臺灣稻種氣候逆境多樣性恢復能力的引擎，利用於水稻育種工作。雙方亦將透過研究人員交流互訪，協力建立相關人力資源及研究能量。,"基因, 族群, 水稻, 平台"
因應氣候變遷下水稻生產模式之開發及耐高夜溫優質稻米選育(2/4),"[264, 286, 343, 640, 1046]","全基因組關聯研究, 多親本多世代互交品系, 作物機制模式, 高夜溫逆境, 稻米品質",國際農業合作,"國際, 農業, 合作","氣候變遷造成水稻產量降低及米質惡化，引發糧食安全疑慮。未來國內稻作生產將面臨高溫之栽培環境，台灣稻作產業如何因應全球暖化趨勢，研發具耐熱性之水稻品種以減輕氣候變遷對水稻生產之負面影響極為重要。由於現今高溫對稻米產量之影響瞭解較多；然而對高溫下稻米食味品質之變化則所知有限，其相關基因與調控機制則有進一步探索。也要加強因應氣候變遷趨下影響水稻耐逆境相關農藝性狀基因或QTLs之探勘並確認，提供水稻品種改良選拔之基礎。另為確保稻作之永續發展及糧食安全，開發水稻高溫下之最佳生產模式亦甚重要，例如適性品種、適栽區、栽培模式之預測等，以助於台灣稻米產業因應高溫之氣候帶來之衝擊，提昇我國在氣候變遷下之水稻農糧產業之適應力及競爭力。因此本計劃擬持續與 IRRI合作，由IRRI引進、繁殖及維持Global MAGIC, MAGIC Japonica及Heat MAGIC水稻品之族群。利用此些品系進行水稻穎花開花時段高溫對稔實率及高夜溫下穀粒充實期稻米米質變化之篩選分析。 並擬建立user friendly之web based MAGIC Japonica之GWAS網路分析平台，以利國內水稻育種研究人員之使用。最後則是提供分子標誌、已驗證之作物參數與模式分析之技術指導，建立ORYZA作物模式於臺灣水稻的應用模組。 希望達成目標為: 1. 高溫逆境下稻米品質之分析及耐熱品種之開發選育；2. 建立MAGIC Japonica數量性狀基因座探勘平台；3. 建立臺灣主要水稻品種與耐高溫相關之產量與品質估計模式。","水稻, 稻米, 稻作, 模式"
因應氣候變遷之養殖漁業產業調適與保險制度規劃研究,"[481, 576, 1081]","保險, 氣候變遷, 養殖漁業",農業政策與農民輔導,"農業政策, 農民, 輔導",降低氣候變遷對養殖漁業的衝擊，提出氣候變遷對的養殖漁業調適策略相關研究。規劃養殖漁業保險制度，藉此減少漁民損失及降低國庫救助支出，並提供漁政單位制定養殖漁業產業策略及保險制度規劃之參考,"救助, 策略, 研究"
農委會農業菁英培訓計畫-氣候變遷對於植群分布之衝擊,"[573, 576, 796]","氣候範圍模式, 氣候變遷, 植群分布",科技管理,"科技, 管理","氣候變遷所造成的影響已毋庸置疑，其造成生態系統改變之環境因子，主要是來自溫度上升、降雨型態與分布的改變，不僅對植物個體的生存產生影響，亦對植群的分布產生了衝擊。有關氣候變遷對生物分布的影響，研究資料眾多，整體結論為物種分布會向南、北極或高海拔地區移動，其結果導致高緯度及中高海拔地區成為首當其衝之區域且極易受害，主要原因為某些特定之物種僅棲息於高緯度或中高海拔山區，其棲地面積原本?較為狹窄，而在低緯度或低海拔的物種?遭遇氣候暖化，仍可遷移至?高緯?或?高海拔地區，棲息於高緯度或高海拔棲地的物種則無處可遷移，或是受到其他低海拔向上遷移的物種競爭而遭到?大威脅，進而壓縮其分布空間，將有滅絕的可能。此種氣候變遷對於生態系會造成的影響仍存在著許多不確定性，主因為當物種的物候、族群與分布因氣候變遷而改變時，各物種對氣候變遷的反應程度有所差異，故造成不同情況之群聚組成改變，並對群聚內物種間之相互關係產生不同程度之影響，生態系內食物網的結構也會因而調整，進而影響到生態系的功能與穩定性，因此聯合國政府間氣候變遷特別委員會（Intergovernmental Panel on Climate Change, IPCC）要求各國應評估其國內各生物相在氣候變遷狀況下所產生之變動與衝擊，並提出解決方案，以維護全球生物相之完整。有關氣候變遷在未來可能造成之生態衝擊研究方面，大多採用模式分析的方式，並以未來環境的預測情境為基礎，再利用生態系統各層面與環境間的關係，預測未來的可能改變趨勢和結果，本研究即採用此種方式，主要目的在於模擬氣候變遷情況下，植群分布的變化情形，惟本研究尚加入生態系完整性與脆弱度的評估，並探討不確定性因子所造成的影響，為一氣候變遷的衝擊性研究，透過氣候因子分析、植群資料與生理特性蒐集、氣候指標之評估，據以建立物種與氣候之關聯模式，再導入未來氣候變遷情境至物種分布模型中，模擬未來物種於氣候變遷情境下之分布情形，而模式有其不確定性，必須將以量化、評估並降低其不確定性，以增進模式的準確性，並評估氣候變遷下植物社會的完整性。 臺灣已有許多研究，但這當中仍有不足之處，大部分之研究套用國外學者建立之模式，雖仍有結果產出，可信度卻不高，若依此結果來制定國家林業政策及保育策略，後果將堪慮，但若能透過於美國華盛頓大學就讀博士班，學習新技能並藉由北美洲相對較為單純之物種及植物社會，達到解決前述問題之目的，並培育相關領域人才，將有助於做出正確的決定，制定合宜的政策，增加未來決策的深度與廣度。","海拔, 研究, 情境"
因應氣候變遷之溫帶果樹創新技術開發,"[418, 458, 697, 747, 895]","枇杷, 芽休眠打破, 梨, 創新栽培技術, 葡萄",農糧與農環科技研發,"農糧, 農環, 研發, 科技",1. 熱水與熱蒸氣處理打破葡萄芽休眠程度調查、人工光照對延遲休眠的影響、無子品種生長物候期調查。開發對葡萄植株沒有毒性與環境友善的打破休眠處理技術，維護果農與環境安全；建立台灣南部無子葡萄生產系統，利用冬季溫暖的地理優勢，生產3-5月的早熟葡萄，在地生產，提高進口葡萄替代率。2. 以抗風設施生產並調控光熱條件滿足溫帶果樹作物生育需求，縮短生育期增進品質；以光電工業小太陽LEP(Light Emitting Plasma)調控溫帶作物的光敏素生理反應以逃避休眠、以短波長光源調控感光色素系統以調控果品品質及植株形態發生。 3.預期將台灣可生產高接梨產期由最早4月底提前1個月至3月底。4.枇杷可調節於正常產期外生產。,"葡萄, 無子, 植株, 作物, 抗風, 生育期"
農業氣象之觀測及資源整合,"[576, 579, 651, 923, 1021]","氣候變遷, 氣象災害, 乾旱, 農業氣象, 豪雨",農糧與農環科技研發,"農糧, 農環, 研發, 科技",本計劃之氣象觀測及水稻試驗是為建立氣候-作物之資料，透過自動觀測系統所蒐集氣象資料提供農業試驗研究及適地適作研究之用，也可作為農業氣象災害防範與預報。在精確掌握氣候和土壤在時間與空間中的變異、進行高效率的農業經營與管理，以及加強農業氣象災害防護措施的研發、減少氣象災害對農作生產的負面影響等前提下，將各氣象測站累積之龐大觀測資料轉化成更有意義的農業氣象資料以供分析與應用，地理統計及地理資訊技術的運用是上不可或缺的重要關鍵。,"地理, 蒐集, 高效率, 研究, 作物, 水稻, 土壤, 前提, 措施"
臺灣植物紅皮書受威脅物種保育之研究,"[158, 446, 477, 480, 576, 594, 822, 993, 1016, 1186]","水社柳, 物種分布模式, 保育行動計畫, 保育優先次序, 氣候變遷, 烏來杜鵑, 紫苞舌蘭, 種原保存, 臺灣破傘菊, 瀕絕植物",林業科技發展,"林業, 發展, 科技",(一)針對臺灣「植物紅皮書」中所列的物種名錄，以其瀕危程度及受保護與否為評估標準，進行分析，建立種原蒐集及保存的優先順序名錄，並以上述名錄，進行植物種子的蒐集及保存工作，同時建立植物種子保存之標準作業流程。(二)藉由開放資料的蒐集及彙整，透過地理資訊系統、數學學理與統計方法，建立一物種適宜棲地推估模式，並以臺灣維管束植物紅皮書列為易受害等級物種為目標，模擬IPCC第5次評估報告所定義之RCP氣候變遷情境下，物種將來可能的分布範圍變化，期可供野生生物棲地保育與經營管理之參考。(三)生物多樣性公約簽訂以來，全球對於生物多樣性的保育日益重視，至2010年生物多樣性消失的速度不但未能獲得有效的減緩，環境所面臨的危機甚至更為加劇。而有鑑於全球生物多樣性仍快速流失，世界各地稀有及受威脅植物物種近年來愈來愈多，近年來生物技術工具提供了生物多樣性保育新的途徑與方法，而體外培養技術應用於拯救和保育受威脅植物非常有用且有相當多成功的實際案例；此外，體外培養可更有效地應用於提高生物量和遺傳資源的保育，特別是受威脅植物野外族群因天然生殖能力受限或他種因素造成物種數量減少時，除在採樣上不破壞或消耗野外原生地之族群，且生產出均一且數量多之植物材料可減輕對自然族群減少之壓力。針對紅皮書稀有等級植物臺灣破傘菊、水社柳與紫苞舌蘭進行後續種質保存、作為未來永續保育之用途。(四)烏來杜鵑為臺灣特有種植物，經植物專家學者評估為野外滅絕(EW)等級之物種。本中心於曾針對此物種進行過生育地調查、種原蒐集保存與野外族群復育等計畫之研究與推動。然經過多年後，此物種僅存植栽狀況不明，因此本計畫擬清查此物種種原蒐集保存與調查植栽之現況，並瞭解現存個體是否足夠涵蓋原先調查所知之遺傳變異，藉此擬訂烏來杜鵑後續保育與復育之施行措施。臺灣破傘菊繁殖體系之建立與種質保存之研究，可節省瀕絕物種移地保育之空間、降低保育成本與減少自然災害及生物因子危害，有效提昇繁殖效率，確保臺灣植物資源的遺傳及物種多樣性，並期進一步應用在瀕臨絕滅物種之復育再引回與植物永續利用。藉由清查中心與中北部地區域外烏來杜鵑植栽種源與遺傳變異組成，瞭解烏來杜鵑目前種原保存現況，進一步評估與擬定此物種後續保育復育措施。,"植物, 蒐集, 族群"
